"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Sir Thompson Squigglebutt,Tommy,7,Chihuahua
Dog,Miss Kasey Bubbles,Kasey,8,English Setter
Dog,Angel,Angel,9,Golden Retriever
Dog,Loosie,Goose,15,Whippet
Bird,Ruby,Ruby,2,Parakeet
Dog,Sophie,Sophie,14,Whippet
Lizard,Robert,Robbie,1,Leopard Gecko
Dog,Douglas,Douglas,10,Basset Hound
Dog,Zoi,Z,1,English Setter
Cat,Menke,Menke,4,Manx
Dog,Jasper,Jasper,14,Whippet
Dog,Rupert,Roo,3,Basset Hound
Dog,Spencer,Spence,10,Pointer
Dog,Sir Clyde Bootsie Sideeye,Clyde,11,Chihuahua
Dog,Daisy Mae,Daisy,7,Goldendoodle
Dog,Teddy Bear,Teddy,11,Chow chow/Australian Shepard
Dog,Edward Gene,Eddy,15,Golden Retriever
Dog,Peaches Monroe,Peaches,4,Jack Russell Terrier
Dog,Sir Nicholas,Nick,9,Corgi/jack russell
Dog,Eowyn,Eo,13,Shih Tzu
Dog,Jayden,Denden,8,Shih Tzu
Dog,Joey,Jo,1,Golden Retriever
Dog,Walker Texas Ranger,Wally,1,Labrador Retriever mix
Dog,Mike Mussina,Moose,1,Labrador Retriever mix
Cat,Azuca,Zucchini,8,
Cat,Lady Bluebelle,Bluebelle,16,DMH
Dog,Demon Deacon,Deke,13,Golden Retriever
Dog,Benny The Tiny Von Hudehoff,Benny,5,Yorkshire Terrier
Dog,Jacky,Jack,3,Golden Retriever
Dog,Gigi,Gigi,10,Golden Retriever
Dog,Liontamer’s Nelson M Mandela,Nelson,2,Rhodesian Ridgeback
Dog,Toby,Toby,12,Golden Retriever
Dog,Sugar,Sugar,13,Mix
Cat,Rey,Rey,2,
Dog,Mackley,Mackey,4,American Bulldog
Cat,Gordon Banarnar,Gordon,6,Tabby
Dog,Sugar,Sugar,5,Golden Retriever
Dog,Minnie,Minnie,10,Min pin
Dog,Meeko Letang,Bubby,3,Rough collie
Cat,Mephistopheles Der Leibhaftige Teufel Lord Of The Underworld Bringer Of Darkness,Felix,11,Orange Tabby
Dog,Oddjob,Jobby,11,Pug mix
Cat,River,River,8,Orange Tabby
Dog,Charleston Wesley,Charlie,1,Goldendoodle
Dog,Shelby,Shelb,3,Mix
Dog,Barracuda,Cuda,3,GSD Mix
Hamster,Lilapution Marie,Lilla,0,
Dog,Daisy,Daisy,5,Labrador Retriever mix
Dog,Moose Van Haus Huenink,Moose,3,Rottweiler
Dog,Princess Bella Marie,Bella,11,Mini Dachshund mix
Hamster,Turtle Dove,Turtle,0,Syrian
Dog,Geno Stoneycreek Pugh,Beans,2,Rottweiler
Cat,Axel Daxel,Axel,9,Domestic Short Hair
Fish,Michael Lee,Michael,11,Beta Fish
Cat,Babe Ruthy,Babe,9,Domestic Short Hair
Dog,Sadie Mae,Sadie,6,German Shorthaired Pointer
Chinchilla,Stanley,Stan Bug,0,
Dog,Ruby Sue,Ruby,3,Blue Tick Coon Hound
Rabbit,Richard Fineman,Richie,4,
Dog,Zoey,Zoey/zozo,8,Golden Retriever
Dog,Apollo,Apollo,10,Boxer
Dog,Petey,Pete,11,Labrador Retriever mix
Cat,Scuto,Scutie,10,Burmese
Dog,Sadie Blue,Sadie,9,Border Collie mix
Dog,Mira,Weetum,13.5,lab/greyhound
Dog,Ginger,Ginger,8,Staffordshire mix
Cat,Cookie Dough,Miss Dough,6,Cat
Tortoise,Kachu,Kachu,4,
Dog,Hairy Potter,Hairy,12,Smol terrier
Dog,Cricket,Crickita,12,"Half schitzu, half long haired miniature dachshund"
Dog,Xenia Marie,Xenia,8,German Shepherd
Guinea Pig,Potato,Tot,3,Abyssinian Guineapig
Dog,Daisy Mae,Daisy,12,Cairn Terrier
Chinchilla,Ashe,Ashe,3,American standard chinchilla
Fish,Mr. Moesby,Mr. Moesby,3,Goldfish (common)
Fish,Helen,Helen,3,Goldfish (tiny)
Dog,Skylar,Sky Dog,15,Mini Aussie
Dog,Maybus Dogstoevsky,Maybe,11,Treeing Walker Coon Hound
Dog,Kahlua,Louie Loulou Kahula Fluffernutter,7,Mini Aussie
Cat,Foster,Foster,13,Domestic Short Hair mix
Cat,Reese,Reese,13,Domestic Short Hair mix
Dog,Maggie Pie Thatcher,Maggie,4,Blue lacy
Dog,Ashildr,Ashy,1,Boxer
Dog,Elsa,Stinky Poo Poo,4,German Shepherd
Dog,Belle,Stinky Poo Poo Too,4,Golden Retriever
Cat,Mufasa,Mufasa,14,Yellow Tabby
Dog,Zeus,Zeusy,8,Jack Russel mix
Guinea Pig,Niblet,Fat Pig,4,Guinea Pig
Dog,Molly,Miss Pants,6,Labrador Retriever mix
Cat,Valerie Spaceship Pizza Party,Bubba,6,Domestic Short Hair
Hamster,Penelope,Penne,1,Syrian
Cat,Peanut,Peenie Paneenie,4,Calico
Cat,Jupiter,Monsieur Jups,6,Domestic Short Hair
Dog,Chip,Chippy Chipper Dumbo Or Chipper Dipper,13,Labrador Retriever
Dog,Chewustuffer Asshole,Chewy,2,Golden Retriever
Dog,Sailor Moon,Either Sailor Or Moon,4,Newfoundland
Dog,Navigator’s Sipsey River Princes,Sipsey,11,Labrador Retriever
Dog,Buddy,Bud,9,Border Collie
Dog,Brown Butter Biscuit,Biscuit,12,Labrador Retriever
Dog,Millie,Lil Mil,13,Shih tsu cross
Dog,Jonah,Jonah,5,Lab/Collie
Dog,Diggs,Diggs,9,Australian Cattle Dog
Bird,Gudlaguba,Guba,2,
Dog,Herman,Hermie Herm-derm Herbie Herm-worm,14,Dachshund
Cat,Isis,Isis,9,Domestic Short Hair
Dog,Datsyuk,Datsyuk,8,Shepherd mix
Dog,Nightwing,Nightwing,6,Lhasa Apso / Maltese
Dog,Isabella,Bella,5,German Shepherd mix
Dog,Princess Buttercup,Princess,4,Lhasa Apso / Maltese
Dog,Sir Jake Of Zoar,Jake,11,Labrador Retriever
Cat,Michael Theodore Wazowski,Mike,2,Cat
Dog,Scout,Scout,6,Cavalier King Charles Spaniel
Dog,Aluxe,Aluxe,14,Poodle
Dog,Brownie,Brownie,11,Cavalier King Charles Spaniel
Cat,Catsby,Catsby,12,Domestic Short Hair
Rabbit,Clementine The Lemon,Clem,7,
Dog,Shelby May,Shelbs,6,Terrier mix
Dog,Mr. Henry Midas Darcy,Henry,7,Golden Retriever
Cat,Hermes,Hermes,10,Unknown
Dog,Annie Reese,Annie,11,Husky/Corgi mix
Dog,Blackjack,Blackjack,3,Lab and pit mix
Cat,Dolly Madison,Dolly,11,American Short Hair
Cat,Franklin Roosevelt,Franklin,16,Siamese
Cat,Abby,Abby,2.5,
Dog,Jaden,Jaden,,8 years
Dog,Sophie,Soph,9,Golden Retriever
Cat,Elizabeth Bennet,Elizabeth No!,13,Domestic Long Hair
Cat,Amadeus,Booboo,13,Domestic Long Hair
Dog,Petey,Petey,11,Golden Retriever
Dog,Jack,Jackson,11,Golden Retriever
Dog,Bella,Bell,8,Pug mix
Dog,Starsky Buford,Starsky,7,Foxhound mix
Prairie Dog,Beatrice,Trixie,5,Mexican black tailed
Dog,Quito,Kiki,4,Lab/APBT/Great Dane/GSD/Australian Cattle Dog/Rottweiler (Embark confirmed)
Dog,Wiggins,Wiggs,3,Labrador Retriever mix
Bird,Aretha,The Broody One,1,Black star hen
Snake,Stanley,Stanley,1,Ball python
Dog,Bella,Smelly Belly,13,Weimaraner
Hermit Crab,Golddigger,Goldie,Unknown,Australian
Dog,Maple,Mapie Mapes,5,Shiba Inu
Dog,Sara,Sara,7,Polish Tatra Sheepdog
Bees,Professor Mcgongall The Queen,Hogwarts The Hive,1,
Dog,Clementine,Clem,5,Coonhound
Dog,Ali May,Ali,12,Labrador Retriever mix
Dog,Aspen,Ass-pen,3,Coonhound
Dog,Amber,Amber,2,German pointer
Guinea Pig,Diego,Dego Bear,3,
Guinea Pig,Linus,Linus,1,American guinea pig
Dog,Coquine,Ti-chat,15,Maltese
Guinea Pig,Colby,Colbs,3,
Dog,Medley May,Med Head/big Medley,8,Great Dane
Dog,Maggie,Mag Bag,3,Great Dane
Dog,Finn Jethro,Finny,7,Poodle
Dog,Tallulah Lilac,Lulah,4,Poodle
Dog,Bear,Bear,6,Husky - shepherd - collie
Cat,Fuji,Worm,9,Cat
Dog,Emily,Emily,7,Pit Bull
Dog,Winifred Yankeestaff Arnone,Winnie,13,English Staffordshire Bull Terrier
Dog,Bella,Bella,9,Shih Tzu
Dog,Mocha Latte,Moch,2,Retriever/Pitbull
Dog,Bentley Rockstaff Jardine Arnone,Bentley,10,English Staffordshire Bull Terrier
Cat,Lili,Lili,11,Russian Blue
Dog,Freddie Mercury,Freddie,15,Schnauzer
Dog,Einstein Pancake,Einstein,11,Shih Tzu mix
Cat,Kit Marlowe,Marlowe,11,Domestic Short Hair
Dog,Sir Eggs Benedict,Benny,2.5,Corgi
Dog,Bandit,Ban Ban,8,Husky
Cat,Beauregard Montgomery Cat,Beau,3,Black and White
Dog,Mac,Mac,5,Border Collie
Dog,Shepherd E Stoltzfus,Shep,5,Border Collie
Dog,Cinnamon,Chinamon,4,Labrador Retriever
Rabbit,Greta,Greta,13,Mini Rex
Dog,Rocky Ciroc,Ciroc,6,Bichon Frise
Cat,Cloudy,Cloudy,9,
Cat,Sunny,Sunny,5,
Dog,Jack,Jack,2,Miniature Dachshund
Dog,Baldrick Of Blackadder Bob,Bob,14,Miniature Schnauzer
Dog,Danny,Danny,Deceased,Pomeranian mix
Dog,Troy,Sweetie,9,Pit mix
Dog,Lavender,Lav,8,Pit Bull
Dog,Buddy,Mr. B,6,Golden Retriever
Dog,Chase,Chase,6,Boxer
Dog,Charlotte,Charlie,8,Mostly Border Collie (though she does not behave like one)
Dog,Ice,Ice,14,Sharpei/Dachshund mix
Fish,Alpha The Beta,Alpha,1,
Dog,Dolly,Dolly,7,Labrador Retriever mix
Dog,Geoffrey,Geoffrey,1,Maltipoo
Rabbit,Aragorn,Strider,5,Dwarf lop
Rabbit,Arwen,Arwen,4,Lion head dwarf lop
Dog,Holly,Holly,8.5,Golden Retriever
Dog,Coco Pollybird,Coco,10,Cocker Spaniel
Dog,Tim,Tim,12,Beagle
Dog,Magui Josefina Primera Mercado,Moñoñito,16,English Cocker Spaniel
Turtle,Robustiana,Robby,5,
Dog,Scooby,Scoob,Unknown,American cocker Spaniel
Dog,Balto José,Bartolo,6,
Bird,Lulú Anastasia,Pollo,16,
Dog,Xena Badass Mcawesome Princess Flufflepuffs Of The Ashen Fields Of Mordor,Xena,6,Golden Retriever
Dog,Wilbur,Wilby,6,French X British Bulldog
Dog,Rowena Ravenclaw,Puppy,3,Rhodesian Ridgeback
Dog,Magnificent,Maggie,7,King Charles/papillon mix
Dog,Nova,Scoosh,7,Cocker Spaniel
Dog,Penny,Penny,12,Ray terrier
Cat,Jasper,Jasper,8,
Dog,Maisie Taters,Maisie,2,Hound mix
Dog,Guinness,Guinness,9,Australian Shepherd
Dog,Johnny Bee,Johnny,5,Boxer mix
Cat,Emma,Emma-zoo,21,Calico
Dog,Mayflower,May,12,Labrador
Cat,Benjamin,Ben,6,
Dog,Roscoe,Roscoe,13,Beagle
Cat,Pitted Bear,Pits,6,
Cat,Lily,Lily,20,
Cat,Maggie,Maggie,19,
Cat,Tom,Tomsl,18,British Short Hair
Cat,Gerri,Gerri,17,British Short Hair
Dog,Ashley,Ashley,5,English Cocker Spaniel
Cat,Moritz,Mori,8,Cat
Dog,Janis,Janis,7,
Dog,Leonardo,Leo,7,Pekingese
Rabbit,Cheeky,Twatty,5,
Cat,Tyler,Doofus,11,Domestic Short Hair
Dog,Ceili Kibbles,Ceili Pronounced K-lee,10,Golden Retriever
Cat,Kiki,Kikster,11,Domestic Short Hair
Dog,Charlie,Charlie,5,Bernese Mountain Dog
Cat,Oreo,Oreo,3,Domestic Short Hair
Cat,Ichi,Itch,8,
Fish,Mussel,Muss,3,
Dog,Mango,Mango,2,
Hamster,Muffin,Muffin,2,
Dog,Rufus,Roofie,14,Golden Retriever
Dog,Daisy,Daze,4,Golden Retriever
Dog,Lily,Lils,13,Golden Retriever
Dog,Bertie,Bertie Boy,4,Golden Retriever
Dog,Max,Bear,7,Akita
Dog,Molly,Moo,7,Beagle
Dog,Poppy,Poppy Dog,2,Golden Retriever
Dog,Daisy,Daisy Dog,2,Golden Retriever
Cat,Nica-nu,Nica-no-give-that-backq,21,British Short Hair
Cat,Meredith,Mer,8,
Dog,Koda,Koda,9,Golden Retriever
Dog,Elwood,Elwood,9,Golden Retriever
Dog,Jake,Jakey,9,Golden Retriever
Cat,Blizzard,White,13,
Cat,Hemingway,Hemi,9,
Cat,George,Porge,11,
Dog,Miles,Miles,8,Labrador
Cat,Sherbert,Sherbert,1,
Cat,Liesje,Liesje,5,Tortoise
Dog,Indiana,Indy,10,Springer Spaniel
Cat,Diego Maradona,Degs,3,
Dog,Maximus Harvey,Max,2,Golden Retriever
Cat,Paco,Pac Man,2,
Dog,Douglas Ray Richardson The Third,Doug,6,Red heeled
Guinea Pig,Wilbur,Wilbur,1,Unknown
Guinea Pig,Vincent,Vinnie,1,Unknown
Dog,Harley,Gnarly,4,Pug
Tortoise,Taco,Taco,7,Russian Tortoise
Dog,Buster,Busty,14,Jack Russell Terrier
Dog,Alfie,Alfie Dude,14,Jack Russell Terrier
Dog,Mila,Mila,9,Mix
Dog,Zero,Boydog,10,Rhodesian Ridgeback
Rabbit,Cirkeline,Cirkeline,7,Mix
Dog,Bella Nina; Thomas James; Archie,Bella; Tom; Archie,7,German Shepherd mix
Cat,Mao. As In Chairman Mao  Not Miaow Or Mayo.,Mao,14,Moggy
Dog,Briggs,Briggy,10,Labrador Retriever mix
Dog,Mya The Dog,My,13,Labrador Retriever
Cat,Dee Dee,Dee,13,
Dog,Neela,Neely,8,Shih Tzu
Dog,Hank,Hankle,2,Blue heeler/Australian shepherd
Dog,Button,Button,7,Cockalier
Dog,Missy Princess,Missy,14,Cocker Spaniel
Dog,Prince,Prince,7,German Shepherd mix
Dog,Samuel,Sam,8,Golden Retriever
Cat,Wolfe,Buddu,11.5,Domestic Short Hair
Cat,Muppet,Muppy,6,Tabby
Bird,Bruce,Brucey,10,Budgerigar
Dog,Precious Fudge,Miss Precious,12,Labrador Retriever mix
Dog,Truffles,Truffs,11,chocolate poodle
Dog,Woodland,Woody,4,Long-haired Chihuahua
Rat,Tomasa,Tommy,1,
Dog,Heath M&m,Mr. Peaf,8,Australian Cattle Dog
Dog,Mosley,Mr. Mosley,6,Pit Bull mix
Dog,Peter,Mr. Peter,3,
Cat,Miss Lucy,Lucy,4,Siamese
Cat,Miss Molly,Molly,3,
Cat,Luna,Luna,4,Ragdoll
Dog,Sammy,Sammy,12,Shih Tzu mix
Dog,Theodore Barkalot,Teddy,8,Bichon Havanese
Lizard,Delphine,,2,Speckledys
Dog,D'artagnan,Dart,17,Pug
Cat,Fire,Fire,3,Domestic Short Hair
Cat,Ash,Ash,3,Domestic Short Hair
Cat,Kami,Kam,1,Long hair
Cat,Kit Kat,Kit,2,Medium hair
Dog,Celsius Pele Amadeus Cartier,Celsius,11,Labrador Retriever
Dog,Lando Calrisian,Lando,4,Labrador
Dog,Obi-wan,Obi,2,Labrador
Dog,Titus Sirius Icarus Cartier,Titus,10,Labrador Retriever
Dog,Samuel T Dogg,Sam,8,Labrador
Cat,Puka Shell,Puka,3,
Cat,Lily Pad,Lily,1.5,
Dog,Oreo Ann,Oreo,11,
Dog,Oliver,Ollie,7,
Dog,Stamford,Stamford,10,Bichon Frise mix
Dog,Bentley,Bentley,4,Labrador Retriever
Dog,Lulu,Lulu,10,Jack Russell Terrier
Dog,Ella,Elephant,8,Retriever X labrador
Dog,Roxy,Roxy,5,German Shepherd
Cat,Andrew Angela,Andie,1.5,American Short Hair
Cat,Cricket,Creekee,8,American Short Hair
Dog,Desmond,Dez,8,Labrador Retriever
Cat,Tallulah May,Chunky Butt,2,American Short Hair
Dog,Stella,Stella,9,Hunterway x Collie
Cat,Snowflake,Snow / Snowy,11,Maine Coon mix
Dog,Sheena,Beena,12,Golden Retriever
Cat,Rico,Rico,13,
Cat,Sirius Black,Chonk,4,
Cat,Bellatrix Lestrange,Bella,2,
Dog,Perry The Poodle,Perry,2,Standard Poodle
Dog,Cody The Corgi,Cody,3,Corgi
Cat,Princess Penelope Pineapple Pizza,Kitty,3,Calico
Cat,Mel,Melzinga,3,
Dog,Ginevra Molly,Ginny,18,Golden Retriever
Cat,Mel De Melissa Duarte Brandizzi,Mel,3,
Cat,Mila Vilela Brandizzi,Mila,1,
Cat,Sushi,Baby / Sushi Burger,14,Black
Dog,Riley,Riley Or Ri Pronounced Rhy But Then There’s A Bunch Of Nicknames Like Riley Roo Roo Ri Ri Bud Buddy Bub Etc,4,Husky
Dog,Cleopatra,Cleo,3,Greyhound
Dog,Coco,Coco,10,Corgi
Dog,Captain,Captain Aka Cappie,14,Husky
Dog,Buddy,Buddy,8,Mix
Dog,Magnolia Mae,Maggie,2,Corgi
Dog,Sam,Sammy,5,Border Collie
Frog,Lily,Lily,1,
Dog,Zoey,Zo,4,Mix
Cat,Sammy,Sammy,9,
Cat,Tika,Tika,8,
Cat,Prince William,William,9,
Dog,Chip,Chippers,2,Golden Retriever
Spider,Rosie,Rosie,6,Chilean rose hair tarantula
Cat,Zoey,Zoey,5,Tabby
Cat,Stella Lou,Stella,2,Tabby
Dog,Snickers,Snick,8,Labrador
Dog,Max,Max,12.5,Labrador
Dog,Leeloo,Leeloo,2,Labradoodle
Dog,Owen,Owen,13,Ridgeback
Dog,Daisy Mae,Daisy,11,Golden Retriever
Cat,Maria,Maria,8,Mix
Dog,Sunshine,Sunny,4,Pyrador
Cat,Penelope,Penelope,9,Calico
Lizard,Pebbles,Peb,4,Leopard Gecko
Dog,Freskin,Fattima Bouffants,13,Labrador Retriever
Dog,Philippa,Pippa,4,American Hairless Terrier
Dog,Lillie Lilian Now That She’s Older,Lillie,5,Boxer
Cat,Callie,Callie,15,
Dog,Dr. Wolf Barker Md Phd Dog,Wolfie,7,Mix
Dog,Toby,Tobias,10,Bichon Frise
Cat,Mackintosh,Milo,10,Street corner
Dog,Alice,Alicima Bouffants,11,Bichon Frise
Dog,Dee Dee,Deedle Dumpling,10,Bichon Frise
Dog,Oliver,Oliver,12,Bichon Frise
Dog,Reuben,Reuben,12,Bichon Frise
Dog,Mowgli,Mowgli Mr. Tude When He's Sassy,3,Yorkie Poo
Dog,Toby,Toby,12,Labrador Retriever
Gerbil,Salt,Salt,2,
Gerbil,Pepper,Pepper,2,
Cat,Shaka,Shaka,9,Siamese
Cat,Zia,Zia,12,Siamese
Dog,Buddy,Buddy,11,mutt/mixed
Dog,Bella Sitka Lastname,Bell Bella Pretty,15,Mianture American Eskimo
Dog,Monty,Montgomery Of Fitzgerald,8,Labrador Retriever
Dog,Luna Lastname,Luna Loon Loonie Miss Loon Wiggles,9,Doxin
Bird,Vaillante,Vaillant,5,
Dog,Echo Last Name,Echo,12,Mianture American Eskimo
Dog,Nuffin,Nuffin,6,Golden Retriever
Cat,Tauriel,Tauriel,4,Domestic Short Hair
Cat,Garbanzo,Bean,4,Domestic Short Hair
Dog,Mars,Chano,9,Corgi
Dog,Calhoun Richard Anderson Du Nord,Cal,3.5,Golden Retriever
Dog,Charlie Brown,Charlie Charizard Charles,10,Labrador Retriever
Dog,Bixby Lucas,Bixby,1,Labrador Retriever
Cat,Luna Linetti,Luna,1,Black
Dog,Taco,Taca Taca Snorticus,13,French Bulldog
Dog,Belle,Jelly Belly,3,Beagle mix
Dog,Jimmy,Jimmy,3,Jack Russell Terrier
Hamster,Wobbles,Wobbles,10,Syrian Hamster
Cat,Buddha,Buddha,15,Domestic Short Hair
Dog,Miles,Miles,10,Redbone Coonhound
Dog,Eleanor Rose,Elly,5,Golden Retriever
Cat,Charlotte May,Charlotte,4,Tabby
Dog,Cooper Jay Nigel Winston,Cooper,8,Yorkie mix
Dog,Buddy Augusto,Buddy,14,Cocker Spaniel
Dog,Dash,Dash,7,Pit Bull mix
Cat,Calvin Coolidge Cat,Cal,17,Siamese
Cat,Gracie Coolidge Cat,Gracie,16,Russian Blue
Dog,Opie,Dope/ Opie,11,Golden Retriever
Dog,Georgia,Georgia,3,
Cat,Emile,Mealsies,6,French Charteux
Cat,Zoe,Zoe,3,Mix
Cat,Malcolm,Mal,3,Tabby
Dog,Dino,Dino,30,Keeshound
Cat,Molly,Molly Magoo,1,Mix
Cat,Bruce Springsteen,Bruce,24,Cat
Dog,Penny,Penny,10,"Beagle, miniature pinscher"
Cat,Raven,Raven,6,Black
Cat,Clarabelle,Clarabelle,7,Short Hair
Dog,Alex’s Fiesty Girl Bailey Balogh,Bailey,10,Golden Retriever
Dog,Rey,Reymundo,2,Jack Russell/chihuahua
Dog,Uwe,Uwe,4,Golden boy
Dog,Millie Betty,Mill,1,Dalmatian
Dog,Henry,Henny,1,Dalmatian
Dog,Daisy Mae,Daisy,13,Mix
Dog,Chamomile June,Cammie,9,Cocker Spaniel
Dog,Chapman,Chapman,15,Labrador Retriever
Dog,Tucker,Tucker,9,Mini Australian Shepard
Dog,Chappelle,Mutt,7,Dachshund mix
Cat,Wilhelmina Rae,Willa,5,
Cat,Frances Louise,Frankie,6,
Cat,Victoria Susan,Tori,6,
Cat,Ossana Mae,Ossie,5,
Dog,Bella,Bella,11,Greater Swiss Mountain Dog
Dog,Toby Wan Kenobi,Toby,1,Golden Retriever
Dog,Daisy,Daisy,12,Labrador
Dog,Beaucoup Du Chien,Beau,Deceased,Newfoundland
Dog,Pumpkin,Pumpkin,Deceased,Yellow Labrador
Dog,Poquit,Poquit,Deceased,Labrador Retriever
Cat,Orange Laurie,Orie,Deceased,
Cat,Sunset,Sunny,Deceased,
Dog,Rosie,Rosie,9,Golden Retriever
Cat,Matilda,Matilda,4,DSH (tuxedo)
Dog,Murphy,Murphy,10,Yorkshire Terrier
Dog,Giacomo Science,Giacomo,6,Bernese Mountain Dog
Dog,Zuul Minion Of Gozer,Zuul,5,Pit Bull mix
Dog,Trogdor Jealous,Dora,14,Mix
Cat,Idalou,Lou,5,Domestic Short Hair
Dog,Professor Tuxedo,Tux,1,Bernese Mountain Dog
Dog,Bodie,Bodie,8,Golden Retriever
Dog,Zoey,Zoey,5,Labradoodle
Cat,Eddy Jefferson,Eddy,4,Cat
Dog,Joel Carlos,Joel,3,Beagador
Dog,Lola,Lola,1,English Cocker Spaniel
Cat,Margot Mae,Margot,4,Domestic Short Hair
Dog,Rufus,Rufus,15,Cairn Terrier
Dog,Sadie,Bubba,12,Golden Retriever
Cat,Chester,Kiddo,1,
Dog,Zoey Deschanel,Zo,12,Bichon Frise
Dog,Cooper,Coop,6,Golden Retriever
Dog,Captain Goose,Goose,1,who knows? (foster)
Dog,Mr Doctor Professor Constable Detective Brick,Brick,8,British Bulldog
Dog,Ellie Sattler,El,1,pibble
Cat,Lily,Little Shit,4,
Dog,Juke,Juke,4,Dachshund
Dog,Blue,Blue,6,Labrador Retriever
Dog,Kiefer Bartholomew,Kief,9,Belgian Shepard
Dog,Jackson,Jax,5,Labradoodle
Cat,Marzipan,Pan,2,
Dog,Zeta Bear,Bear,6,German Shepherd
Cat,Sunny,Sun Bun Or Just Bun,2,
Hedgehog,Professor Minerva Mcgonaquill,Minnie,2.5,African Pygmy
Dog,Minnie,Minniepin,2,Mix
Fish,Fsh,Fsh,10,Mexican Blind Cave Tetra
Dog,Dixie,Dixie,15,Shepherd mix
Dog,Rosa Barks,Rosie,11,Shih Tzu
Dog,Charlie,Charlie,10,Cavapoo
Dog,Jack Dog,Jack,16,Mix
Cat,Minerva,Minny,6,
Dog,Timon,Timon,3,Mix
Dog,Leila Fowler-martinez,Leila Or Pinche Leila,7,
Dog,Tubu,Tubu,11,Chihuahua
Cat,Venus,Kitty,11,Calico
Dog,Goodness Gracious,Gracy,12,Shih Tzu
Dog,Monkey,Monkey,11,Australian Shepherd
Cat,Jynx,Jynx,4,Domestic Medium Hair
Dog,Rosie,Rosie Posie,Deceased,Golden Retriever
Cat,Wendy,Wendy,3,Domestic Short Hair
Hamster,Katya,Chicken Idk Why,2,Russian Dwarf Hamster
Dog,Scirocco Augustus,Rocco Or Crocco,5,Treeing Walker Coon Hound
Dog,Heavy Duty Puppy,Duty,4,Sheltie (he was an “anti”-runt of the litter)
Rabbit,Arthur,Arturo,5,English Lop
Cat,Jack,Kitty Boy,6,Tabby Mix
Dog,Siena Rosa,Siena,12,Golden Retriever
Dog,Buttercup Maplesde Zuez Maplesden Bella Maplesden Hercules Maplesden,Butternut Zuzy  Bella Hercules.,2,Unknown
Dog,Ghia Lynn,Ghia Or Geeg,1,Border Collie mix
Dog,Delilah,Lilah,7,Beagle
Cat,Bailey's Irish Cream,Bailey,13,Siamese Mix
Dog,Treacle,Treacle,10,Border Collie mix
Dog,Sam,Sam,11,Labrador
Dog,Tyson,Tysbert T Mct Mucki Muckelbert Muckmuck Maggey,14,Rottweiler-German Shepherd-Mix
Cat,Madison Square Garden,Square,2,
Cat,Garfield,Cooter 😳,8,Orange Tabby
Dog,Parker,Parker,11,Goldendoodle
Dog,Captain Avro Clarence,Avro,6,Schnauzer
Dog,Carlene,Weentz,4,Mix
Dog,Linda,Linda,10,West Highland White Terrier
Cat,Stellabella,Stella,7,Tortoise
Dog,Toby Wooferton,Toby,18,Mix
Dog,Sacha,Fjollehoved Danish For Goofball,13,Dog (Golden Labrador Retriever)
Cat,Ponce De Leon,Ponce,7,Domestic Short Hair
Dog,Snickers,Snicks,14,Labradoodle
Cat,Echo,Echo,12,
Cat,Tiga,Tiga,7,Domestic Short Hair
Dog,Sherlock Bones,Sherlock,4,Pit Bull mix
Dog,Irene Adler,Addie,8,Bulldog
Cat,Bloo,Bloo,11,
Dog,Wallace,Wally,2,Labradoodle
Dog,Dude,Handsome,2.5,Labrador Retriever
Cat,Mitten,Tuna,13,
Dog,Bailey,Bailey,9,Golden Retriever
Dog,Willow,Sweetie,6,Labrador Retriever
Dog,Philistine Smoosh,Bill,14,Jack Russell Terrier
Cat,Kitty Cat,Kc,13,Unknown
Cat,Elvis,Tubby,12,Siamese
Dog,Henry Nacho,Henny,8,Golden Retriever
Dog,Maximilian Kolby,Maxy,16,Golden Retriever
Dog,Argos,Argos,6,Mix
Ferret,Buttercup,Butter,Unknown,
Elephant,Jumbo,Jumbo,19,Loxodon
Dog,Madeline Grace,Ma Ma,15,Golden Retriever
Dog,Elvis,Elvis,11,Cockapoo
Dog,Coconut Butter,Coco,5,Mix
Dog,Lucy-fur,Lucy,12,Golden Retriever
Dog,Sophie Grace,Soph,13,Brindle Black
Dog,Prince,Prince,14,"Poodle, Shih Tzu and a misc terrier/sporting breed mix"
Dog,Jackson Buttsickle,Jacks,4,Mix
Dog,Lassie,Lass Lass,14,Moth Eaten Carpet
Dog,Charles Xavier Ii,Charlie,4,Great Pyr
Cat,Gingersnapz C. Cat,Gingersnapz,7,Domestic Short Hair
Dog,Caroline,Caroline,5,Purebred Alabama Mutt
Cat,Shadow,Shadow,11,
Cat,Murray 2,Murray,7,
Dog,Beau,Goomby Mr. Beauregard,4,Golden Retriever
Dog,Lindon,Lindy Loo,10,Pit Bull mix
Cat,Marilyn,Chirp Pumpkin Pie Meow Meow,5,Orange Tabby
Dog,Tedward,Teddy,4,Shih Tzu mix
Dog,Zuzu,Zu,4,Shih Tzu x Bichon
Dog,Marcus Brutus,Brutus,4,Boxer
Cat,Charlie Chaplin,Charlie,1,
Cat,Molly Tigerlily,Molly,1,
Cat,Britannia,Brit,10,
